Uid,Sentiment
28952,neutral
25123,positive
25766,neutral
11295,negative
26074,neutral
40566,negative
35746,neutral
12469,positive
37416,neutral
6317,neutral
20053,positive
18729,positive
19064,neutral
12912,neutral
4010,neutral
29484,positive
2582,positive
8113,positive
30456,negative
7256,negative
5175,positive
23155,negative
19963,neutral
25844,neutral
19106,positive
20082,positive
2706,positive
26820,neutral
10586,neutral
27876,neutral
22943,positive
16778,positive
11626,neutral
3704,positive
10501,neutral
10448,neutral
10753,positive
11380,negative
28026,negative
9225,positive
20248,negative
4993,neutral
1874,negative
26065,negative
29447,negative
43080,neutral
3573,negative
36761,negative
16642,neutral
25122,neutral
24470,neutral
26004,neutral
35881,negative
1880,neutral
24792,neutral
11597,neutral
18853,neutral
2841,neutral
6050,neutral
13312,neutral
16900,neutral
18366,positive
21221,negative
11257,neutral
14511,positive
23515,neutral
29264,negative
33298,negative
25070,neutral
34294,negative
37156,negative
14379,neutral
3703,neutral
31564,neutral
39498,negative
5228,negative
39223,neutral
4009,neutral
15596,positive
11046,neutral
20148,negative
11612,negative
13843,neutral
32766,neutral
12452,positive
248,negative
6432,positive
25599,neutral
2624,negative
7183,neutral
11509,negative
36381,neutral
3926,neutral
4094,negative
3107,neutral
15725,positive
9573,neutral
7924,negative
10595,neutral
7472,positive
5051,positive
14190,neutral
30850,negative
10022,neutral
11586,positive
9094,negative
13695,neutral
27851,neutral
271,positive
24659,neutral
29256,neutral
5861,neutral
27747,neutral
37638,positive
6103,positive
23867,negative
4807,neutral
32866,negative
43199,positive
31150,neutral
21363,positive
437,negative
21296,negative
12991,neutral
24860,neutral
27096,positive
14861,negative
5061,neutral
6763,positive
24049,negative
39614,neutral
13735,neutral
8406,positive
42182,positive
5672,neutral
2810,neutral
25409,neutral
37126,positive
31109,neutral
24712,neutral
36050,neutral
42449,negative
16497,positive
25229,positive
1670,positive
7003,neutral
18680,negative
4697,neutral
17902,positive
35312,neutral
5554,positive
10680,positive
14289,positive
26175,negative
28916,neutral
22080,neutral
21142,negative
43161,negative
6165,positive
10383,positive
39151,positive
40814,negative
22278,neutral
3750,negative
12398,negative
31589,negative
19609,neutral
23622,neutral
12275,negative
8139,positive
20795,neutral
21052,neutral
22310,positive
40002,positive
24448,positive
28327,positive
682,neutral
15682,positive
21246,negative
42037,negative
14015,negative
44990,negative
21402,neutral
42836,positive
3877,neutral
1011,positive
16739,negative
21605,negative
16253,neutral
43725,neutral
2572,negative
31445,negative
30681,negative
21181,positive
29952,positive
16901,negative
10781,neutral
20694,negative
39323,negative
20130,neutral
6495,neutral
29098,neutral
10918,neutral
25905,negative
31581,neutral
25528,positive
40784,neutral
23274,neutral
3752,negative
41284,neutral
24275,positive
23072,neutral
10873,neutral
23089,neutral
32483,positive
4552,negative
18770,negative
30736,neutral
21449,neutral
9167,positive
25787,positive
4230,positive
7782,negative
16481,neutral
4518,neutral
4263,positive
10381,neutral
39926,neutral
21364,neutral
28105,negative
42197,positive
16398,positive
33087,positive
20654,neutral
30838,neutral
21696,neutral
10552,neutral
38213,positive
10752,neutral
23625,positive
42465,positive
21214,positive
37869,neutral
9439,neutral
2434,negative
39158,positive
42171,negative
5036,negative
41498,positive
20734,positive
24153,positive
21109,neutral
17485,negative
27459,negative
11887,negative
28428,negative
10739,neutral
27942,negative
22870,negative
21506,neutral
30998,negative
38805,neutral
16076,negative
29864,positive
2707,positive
40560,neutral
21432,neutral
32524,neutral
9080,neutral
25585,positive
10711,neutral
20502,negative
40604,neutral
6024,neutral
9443,negative
12968,negative
43388,negative
43665,positive
17529,neutral
23544,positive
18429,neutral
20946,neutral
12367,negative
6386,negative
12120,negative
18628,neutral
37345,neutral
19508,positive
12386,negative
8233,negative
40610,positive
11493,negative
42540,neutral
39543,positive
14758,negative
4291,negative
21689,negative
22652,positive
9308,neutral
33162,positive
21694,neutral
29628,neutral
20769,positive
7452,neutral
33831,neutral
4394,positive
25529,neutral
21008,neutral
31911,negative
37688,positive
13077,positive
40775,neutral
2333,negative
21731,positive
5729,positive
40479,positive
7381,neutral
42041,neutral
15266,negative
9992,positive
5186,neutral
39836,neutral
43152,neutral
22587,neutral
38657,negative
10548,positive
10436,neutral
35392,neutral
6691,neutral
22753,negative
9562,neutral
40472,positive
5034,negative
2870,positive
30254,negative
10363,negative
722,negative
18415,neutral
15782,negative
12369,neutral
20240,positive
34016,neutral
33281,positive
33226,positive
29498,positive
41964,positive
17953,neutral
23846,positive
10767,negative
11677,negative
8685,positive
21699,negative
27574,negative
12035,positive
11918,neutral
18837,negative
28666,negative
28862,neutral
9874,neutral
33727,neutral
33305,positive
11916,neutral
12113,neutral
2566,positive
20122,positive
36548,positive
26548,positive
10409,neutral
31212,neutral
16093,positive
19731,positive
21584,positive
10760,positive
21771,neutral
34059,positive
6158,neutral
11511,positive
5662,positive
9433,positive
13862,neutral
27779,neutral
8232,neutral
10729,neutral
8758,neutral
32539,positive
32911,neutral
36053,neutral
41604,positive
21279,positive
21737,negative
27152,negative
31542,neutral
16640,neutral
15114,neutral
28550,negative
36566,negative
24138,positive
10666,neutral
9651,positive
12692,neutral
17089,neutral
33479,neutral
6762,negative
43807,neutral
31897,positive
25351,neutral
13351,positive
20897,neutral
10585,negative
6891,neutral
38481,positive
30605,neutral
28795,neutral
39776,positive
36630,negative
20465,neutral
14887,negative
2813,negative
8004,neutral
8624,negative
7292,negative
21467,positive
15422,positive
311,negative
43333,negative
12177,positive
20213,neutral
13229,positive
10846,negative
40222,negative
11009,neutral
14457,positive
14789,positive
8310,positive
17030,negative
32478,negative
2970,negative
17758,negative
26640,positive
21036,positive
10735,neutral
15021,positive
18512,neutral
21459,neutral
7984,neutral
6788,negative
21888,negative
23132,positive
15176,positive
1471,positive
40360,negative
2283,negative
34389,positive
29327,negative
18816,neutral
3763,positive
21280,neutral
4496,neutral
30564,neutral
10908,neutral
39724,neutral
13471,negative
34616,negative
32172,negative
22383,positive
8837,negative
10762,negative
35951,neutral
1529,positive
28667,positive
32249,negative
40008,neutral
11277,negative
20951,negative
2369,positive
7360,negative
43089,positive
24802,positive
7424,neutral
42782,positive
10658,neutral
16450,neutral
8123,neutral
41316,neutral
34694,neutral
9774,negative
16633,negative
22640,positive
32149,positive
12043,negative
33920,positive
11886,neutral
23296,neutral
12583,negative
21703,neutral
8557,positive
22498,positive
1237,neutral
43153,positive
31058,negative
38643,negative
29409,positive
30761,positive
37939,negative
6264,positive
13376,negative
10954,negative
12480,negative
2661,positive
20765,neutral
20004,positive
42178,neutral
11252,neutral
3245,positive
10813,neutral
11550,neutral
25904,neutral
6060,positive
43034,positive
36807,negative
32331,positive
21446,neutral
17615,neutral
32494,neutral
29563,positive
39477,neutral
38216,positive
25708,neutral
39577,positive
44073,negative
9012,negative
10901,neutral
6107,neutral
37967,positive
9128,negative
10457,neutral
3588,neutral
8375,positive
5434,neutral
34306,positive
23096,neutral
13926,negative
5904,negative
34515,neutral
34329,neutral
10512,neutral
33254,negative
36089,negative
10836,neutral
3928,positive
8344,positive
22007,negative
17316,neutral
10472,positive
10741,neutral
1946,neutral
35796,positive
24955,negative
11984,positive
27510,neutral
1671,positive
9301,negative
38140,neutral
35800,positive
16261,positive
32052,neutral
12388,neutral
14573,negative
10392,neutral
33934,positive
8325,positive
23684,neutral
21550,positive
20815,neutral
36888,negative
16055,positive
24462,positive
34392,positive
21081,neutral
27204,neutral
21325,neutral
11146,positive
8269,neutral
40111,neutral
27324,neutral
29895,negative
18709,positive
40283,positive
38698,negative
18143,neutral
21204,neutral
10327,neutral
17020,neutral
34755,negative
8107,positive
12437,neutral
11063,negative
13115,neutral
16268,negative
2498,negative
21892,negative
7036,neutral
11395,negative
10795,negative
11732,positive
33985,neutral
11130,negative
10827,negative
38438,positive
10935,neutral
37694,neutral
17290,positive
10638,neutral
18049,positive
11283,negative
21207,negative
43044,neutral
10838,positive
36904,positive
136,negative
6509,positive
41292,negative
10412,neutral
25334,neutral
39004,positive
20114,positive
38816,positive
21465,neutral
16330,positive
36925,negative
10365,neutral
33823,neutral
38878,negative
40305,neutral
23348,positive
17552,negative
37387,negative
33780,neutral
36549,neutral
42056,neutral
24995,positive
11354,neutral
6876,neutral
27801,positive
27971,positive
26082,neutral
31662,positive
32116,neutral
9800,positive
37667,neutral
1021,positive
39755,positive
10662,neutral
29128,negative
38307,positive
40718,positive
10460,neutral
11656,neutral
6604,negative
28811,neutral
43371,neutral
24738,positive
30346,positive
25690,positive
20982,neutral
11070,neutral
19646,neutral
23465,positive
11834,neutral
30844,negative
10724,neutral
33051,positive
41528,positive
22135,negative
11275,neutral
10879,negative
5334,neutral
10060,neutral
31709,negative
32826,positive
29977,negative
36799,neutral
3434,neutral
11131,negative
11513,negative
21574,neutral
35336,positive
31646,negative
21753,neutral
33862,positive
35182,positive
10574,neutral
28717,neutral
36917,neutral
27070,neutral
6268,neutral
41982,neutral
32064,neutral
5938,neutral
30571,negative
5966,positive
18876,neutral
11244,positive
18806,positive
28053,negative
16769,neutral
21643,positive
11184,negative
7783,positive
3391,neutral
11282,positive
18568,neutral
20938,neutral
13523,neutral
22762,negative
10857,neutral
21568,negative
26196,neutral
38973,neutral
18047,neutral
37565,neutral
28935,positive
582,positive
17215,negative
29695,negative
23352,positive
3799,negative
2299,positive
19520,positive
27335,neutral
20957,negative
9732,positive
440,negative
10723,neutral
11235,neutral
13204,neutral
9175,negative
18894,negative
32008,positive
13942,positive
9891,neutral
24402,neutral
25204,negative
32333,negative
12564,neutral
8226,negative
26554,neutral
11315,neutral
9036,neutral
42559,neutral
32266,positive
18616,positive
41469,negative
37773,negative
15736,neutral
25208,positive
10127,neutral
42896,positive
20244,neutral
10415,positive
2214,negative
11015,neutral
23077,positive
36510,positive
31020,negative
5555,positive
29523,negative
25187,neutral
34114,positive
1331,neutral
13315,neutral
2137,positive
14863,positive
34101,neutral
18191,positive
25601,negative
9017,positive
35798,neutral
2528,positive
37353,negative
39509,negative
34265,positive
23793,neutral
6184,neutral
31635,neutral
30674,neutral
10544,positive
20851,neutral
7268,neutral
31426,positive
1579,neutral
23097,neutral
13355,neutral
26136,positive
37139,positive
44140,negative
11979,neutral
1599,negative
25454,negative
19820,negative
12975,neutral
6080,negative
21391,neutral
18112,positive
38558,positive
38601,neutral
16150,positive
4584,neutral
10761,neutral
7609,neutral
38183,neutral
5292,positive
36750,negative
18448,negative
22191,neutral
25749,negative
7026,positive
10425,neutral
14162,positive
15860,neutral
25435,neutral
25183,negative
